Processed Query;Total Tokens;Stop Words;Unknown Words;Method Calls;Verbs;Nouns;Proportion of Verbs;Proportion of Nouns;Likert;Answers;Query Problem
pandas sort array;3;0;0;0;1;2;33.33;66.67;5;5;
;;;;;;;;;;;
How do I pass an arbitrary object to an explicit intention on Android;13;4;0;0;2;3;15.38;23.08;5;5;
;;;;;;;;;;;
How to get website?;4;2;0;0;1;1;25.0;25.0;5;5;
;;;;;;;;;;;
how to sort a file;5;2;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
how to search an arraylist;5;3;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
regex how to search for telephone number;7;3;0;0;1;3;14.29;42.86;5;5;
;;;;;;;;;;;
java;1;0;0;0;0;1;0.0;100.0;5;5;
;;;;;;;;;;;
Sort an array;3;1;0;0;1;1;33.33;33.33;5;5;
;;;;;;;;;;;
Writing a text file;4;0;0;0;1;2;25.0;50.0;5;5;
;;;;;;;;;;;
Delete last character from string;5;2;0;0;1;2;20.0;40.0;5;5;
;;;;;;;;;;;
parse html with regex;4;1;0;0;1;2;25.0;50.0;5;5;
;;;;;;;;;;;
How to remove element from an array?;7;3;0;0;1;2;14.29;28.57;5;5;
;;;;;;;;;;;
How to sort a list?;5;1;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
javax json jsonarray add json object;6;0;0;0;1;4;16.67;66.67;5;5;
;;;;;;;;;;;
How to read an entire file into a string;9;3;0;0;1;2;11.11;22.22;5;5;
;;;;;;;;;;;
Add SSL to Java RMI;5;1;0;0;1;3;20.0;60.0;5;5;
;;;;;;;;;;;
how to sort a list;5;2;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
How to send a GET request;6;1;0;0;2;1;33.33;16.67;5;10;
;;;;;;;;;;;
how do iterate and filter to a stream;8;4;0;0;2;2;25.0;25.0;5;5;
;;;;;;;;;;;
How rename files in a folder;6;1;0;0;1;2;16.67;33.33;5;5;
;;;;;;;;;;;
How to download a file on selenium;7;2;0;0;1;2;14.29;28.57;5;5;
;;;;;;;;;;;
How to create an thread?;5;2;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
Map Array to DB;4;1;0;0;0;3;0.0;75.0;5;5;
;;;;;;;;;;;
How to create a list?;5;1;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
how to iterate over an array;6;4;0;0;1;1;16.67;16.67;5;5;
;;;;;;;;;;;
How to define a interface;5;1;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
find the shortest path between two points;7;3;0;0;1;2;14.29;28.57;5;5;
;;;;;;;;;;;
gradient descent;2;0;0;0;0;2;0.0;100.0;5;5;
;;;;;;;;;;;
How to substract String;4;1;0;0;1;1;25.0;25.0;5;5;
;;;;;;;;;;;
how to write an own iterator;6;4;0;0;1;1;16.67;16.67;5;5;
;;;;;;;;;;;
How do i encrypt something AES;6;2;0;0;1;2;16.67;33.33;5;5;
;;;;;;;;;;;
convert json to csv;4;1;0;0;1;2;25.0;50.0;5;5;
;;;;;;;;;;;
sort an array;3;1;0;0;0;1;0.0;33.33;5;5;
;;;;;;;;;;;
convert string to int;4;1;0;0;2;1;50.0;25.0;5;5;
;;;;;;;;;;;
How do I create a state machine?;7;2;0;0;2;2;28.57;28.57;5;5;
;;;;;;;;;;;
convert string to number;4;1;0;0;1;2;25.0;50.0;5;5;
;;;;;;;;;;;
how to select a node in xml in java;9;3;0;0;1;3;11.11;33.33;5;5;
;;;;;;;;;;;
how to define a list?;5;2;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
What is the best way to round a float?;9;6;0;0;2;2;22.22;22.22;5;5;
;;;;;;;;;;;
how do I dimension a multidimensional array;7;2;0;0;1;2;14.29;28.57;5;5;
;;;;;;;;;;;
towers of hanoi;3;1;0;0;0;2;0.0;66.67;5;5;
;;;;;;;;;;;
Loop;1;0;0;0;0;1;0.0;100.0;5;5;
;;;;;;;;;;;
encrypt password;2;0;0;0;1;1;50.0;50.0;5;5;
;;;;;;;;;;;
Changing button text;3;0;0;0;1;2;33.33;66.67;5;5;
;;;;;;;;;;;
Changing color of textarea;4;1;0;0;1;2;25.0;50.0;5;5;
;;;;;;;;;;;
How to print a string;5;1;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
set vs list;3;1;0;0;1;1;33.33;33.33;5;5;
;;;;;;;;;;;
How to use lambda;4;2;0;0;1;1;25.0;25.0;5;5;
;;;;;;;;;;;
Hexadecimal to rgb code;4;1;0;0;1;2;25.0;50.0;5;5;
;;;;;;;;;;;
String to integer;3;1;0;0;0;2;0.0;66.67;5;5;
;;;;;;;;;;;
Task;1;0;0;0;0;1;0.0;100.0;5;5;
;;;;;;;;;;;
How to concatenate strings?;4;1;0;0;1;1;25.0;25.0;5;5;
;;;;;;;;;;;
read file and write file;5;1;0;0;2;1;40.0;20.0;5;5;
;;;;;;;;;;;
split;1;0;0;0;0;1;0.0;100.0;5;5;
;;;;;;;;;;;
how to run a loop;5;3;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
how to use webview;4;3;0;0;1;1;25.0;25.0;5;5;
;;;;;;;;;;;
how to remove duplicate from an sorted array;8;4;0;0;3;1;37.5;12.5;5;5;
;;;;;;;;;;;
how to get title of element?;6;4;0;0;1;2;16.67;33.33;5;5;
;;;;;;;;;;;
How to convert String array to string;7;1;0;0;1;3;14.29;42.86;5;5;
;;;;;;;;;;;
nio netty;2;0;0;0;0;2;0.0;100.0;5;5;
;;;;;;;;;;;
Ajax example;2;1;0;0;0;2;0.0;100.0;5;5;
;;;;;;;;;;;
Sort Set alphabetically;3;0;0;0;1;1;33.33;33.33;5;5;
;;;;;;;;;;;
how to learn java;4;2;0;0;1;1;25.0;25.0;5;5;
;;;;;;;;;;;
How to declare global variables;5;1;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
How to create an integer;5;2;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
How to get initialize a boolean array;7;2;0;0;2;1;28.57;14.29;5;5;
;;;;;;;;;;;
How to split string;4;1;0;0;1;1;25.0;25.0;5;5;
;;;;;;;;;;;
Define array;2;0;0;0;1;1;50.0;50.0;5;5;
;;;;;;;;;;;
Get time since epoch;4;1;0;0;1;2;25.0;50.0;5;5;
;;;;;;;;;;;
lambda list add;3;0;0;0;1;2;33.33;66.67;5;5;
;;;;;;;;;;;
how to concatenate strings;4;2;0;0;1;1;25.0;25.0;5;5;
;;;;;;;;;;;
What is void;3;1;0;0;1;1;33.33;33.33;5;5;
;;;;;;;;;;;
how to decline a new BigDecimal in Java;8;4;0;0;1;2;12.5;25.0;5;5;
;;;;;;;;;;;
how to remove a element from array;7;3;0;0;1;2;14.29;28.57;5;10;
;;;;;;;;;;;
Linux shell (command);3;0;0;0;0;3;0.0;100.0;5;5;
;;;;;;;;;;;
oom;1;0;0;0;0;1;0.0;100.0;5;5;
;;;;;;;;;;;
how to read a file;5;2;0;0;1;1;20.0;20.0;5;10;
;;;;;;;;;;;
Convert between a file path and url;7;2;0;0;1;3;14.29;42.86;5;5;
;;;;;;;;;;;
convert from milliseconds to date;5;3;0;0;1;2;20.0;40.0;5;5;
;;;;;;;;;;;
How do you create a two dimensional array?;8;3;0;0;2;1;25.0;12.5;5;5;
;;;;;;;;;;;
Recursion sort;2;0;0;0;0;2;0.0;100.0;5;5;
;;;;;;;;;;;
how to sort an array of integers;7;4;0;0;1;2;14.29;28.57;5;5;
;;;;;;;;;;;
Create arraylist;2;0;0;0;1;1;50.0;50.0;5;5;
;;;;;;;;;;;
set header http request;4;0;0;0;1;3;25.0;75.0;5;5;
;;;;;;;;;;;
add to queue;3;1;0;0;2;0;66.67;0.0;5;5;
;;;;;;;;;;;
how do I create a hash;6;2;0;0;2;1;33.33;16.67;5;5;
;;;;;;;;;;;
How to check session;4;1;0;0;1;1;25.0;25.0;5;5;
;;;;;;;;;;;
Authentication in spring;3;1;0;0;0;2;0.0;66.67;5;5;
;;;;;;;;;;;
Implement oauth2;2;0;0;0;1;1;50.0;50.0;5;5;
;;;;;;;;;;;
How to convert a integer into a string;8;2;0;0;1;2;12.5;25.0;5;5;
;;;;;;;;;;;
add elements to an array;5;2;0;0;1;2;20.0;40.0;5;5;
;;;;;;;;;;;
Spring login page with database;5;2;0;0;0;4;0.0;80.0;5;5;
;;;;;;;;;;;
Get length of array;4;1;0;0;1;2;25.0;50.0;5;5;
;;;;;;;;;;;
Pop elements from an array ?;6;3;0;0;0;3;0.0;50.0;5;5;
;;;;;;;;;;;
Get process id;3;1;0;0;1;2;33.33;66.67;5;5;
;;;;;;;;;;;
how to override a method;5;2;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
polymorphism;1;0;0;0;0;1;0.0;100.0;5;5;
;;;;;;;;;;;
How to do error handling;5;2;0;0;1;2;20.0;40.0;5;5;
;;;;;;;;;;;
how to use linked list?;5;3;0;0;2;1;40.0;20.0;5;5;
;;;;;;;;;;;
what is polymorphism?;3;2;0;0;1;1;33.33;33.33;5;1;
;;;;;;;;;;;
get file from url and put in zip;8;5;0;0;3;2;37.5;25.0;5;5;
;;;;;;;;;;;
Calculate FFT;2;0;0;0;1;1;50.0;50.0;5;5;
;;;;;;;;;;;
How to pass parameters to a dialog that is opened with window.open jsf;13;4;0;0;3;4;23.08;30.77;5;10;
;;;;;;;;;;;
How to sort an arrau;5;2;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
Scanner Input;2;0;0;0;0;2;0.0;100.0;5;5;
;;;;;;;;;;;
How to create new instance of generic parameter;8;3;0;0;1;2;12.5;25.0;5;5;
;;;;;;;;;;;
Integer to Double;3;1;0;0;0;1;0.0;33.33;5;5;
;;;;;;;;;;;
Android gps distance;3;0;0;0;0;2;0.0;66.67;5;5;
;;;;;;;;;;;
How to loop through a list;6;2;0;0;0;2;0.0;33.33;5;5;
;;;;;;;;;;;
unsafe cas;2;0;0;0;0;1;0.0;50.0;5;5;
;;;;;;;;;;;
Sorting;1;0;0;0;1;0;100.0;0.0;5;5;
;;;;;;;;;;;
Pass reference to a method;5;1;0;0;1;2;20.0;40.0;5;5;
;;;;;;;;;;;
Final;1;0;0;0;0;0;0.0;0.0;5;5;
;;;;;;;;;;;
Constant;1;0;0;0;0;0;0.0;0.0;5;5;
;;;;;;;;;;;
substract days to a date;5;2;0;0;0;2;0.0;40.0;5;5;
;;;;;;;;;;;
Reverse a list;3;0;0;0;1;1;33.33;33.33;5;5;
;;;;;;;;;;;
convert datetime to date;4;2;0;0;1;2;25.0;50.0;5;5;
;;;;;;;;;;;
How to reverse an array;5;2;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
evening part time;3;1;0;0;0;3;0.0;100.0;5;5;
;;;;;;;;;;;
Cast an int;3;1;0;0;1;1;33.33;33.33;5;5;
;;;;;;;;;;;
how to create a custom exception;6;2;0;0;1;2;16.67;33.33;5;5;
;;;;;;;;;;;
how to convert timezone;4;2;0;0;1;1;25.0;25.0;5;10;
;;;;;;;;;;;
How to apply polymorphism;4;1;0;0;1;1;25.0;25.0;5;5;
;;;;;;;;;;;
Create a class;3;0;0;0;1;1;33.33;33.33;5;5;
;;;;;;;;;;;
ordered set;2;0;0;0;1;1;50.0;50.0;5;5;
;;;;;;;;;;;
Write simple calculator;3;0;0;0;1;1;33.33;33.33;5;5;
;;;;;;;;;;;
Threads;1;0;0;0;0;1;0.0;100.0;5;10;
;;;;;;;;;;;
Print to console;3;1;0;0;2;0;66.67;0.0;5;5;
;;;;;;;;;;;
Read from text file;4;1;0;0;1;2;25.0;50.0;5;5;
;;;;;;;;;;;
Get first element of array;5;2;0;0;1;2;20.0;40.0;5;5;
;;;;;;;;;;;
how do I create a function;6;2;0;0;2;1;33.33;16.67;5;1;
;;;;;;;;;;;
akka cluster;2;0;0;0;0;1;0.0;50.0;5;5;
;;;;;;;;;;;
printstream;1;0;0;0;0;1;0.0;100.0;5;5;
;;;;;;;;;;;
How to split array;4;1;0;0;1;1;25.0;25.0;5;5;
;;;;;;;;;;;
How to create a function;5;1;0;0;1;1;20.0;20.0;5;1;
;;;;;;;;;;;
injest html text;3;0;0;0;0;3;0.0;100.0;5;5;
;;;;;;;;;;;
assign variable;2;0;0;0;1;1;50.0;50.0;5;5;
;;;;;;;;;;;
swap2number without using third variable;5;3;1;0;1;2;20.0;40.0;5;5;
;;;;;;;;;;;
how to swap number without using temporary space;8;4;0;0;2;2;25.0;25.0;5;5;
;;;;;;;;;;;
How to print each character in a string;8;3;0;0;1;2;12.5;25.0;5;5;
;;;;;;;;;;;
has been blocked by CORS policy: Response to preflight request AJAX;11;4;0;0;3;5;27.27;45.45;5;10;
;;;;;;;;;;;
Find the second largest number;5;2;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
Tic tac toe;3;0;0;0;0;2;0.0;66.67;5;5;
;;;;;;;;;;;
how to turn map keys to list;7;3;0;0;1;3;14.29;42.86;5;5;
;;;;;;;;;;;
how to use PEM encoded certificate;6;3;0;0;2;2;33.33;33.33;5;10;
;;;;;;;;;;;
how to override abstract method;5;2;0;0;1;1;20.0;20.0;5;5;
;;;;;;;;;;;
foreach;1;0;0;0;0;1;0.0;100.0;5;5;
;;;;;;;;;;;
get ip from rest call;5;2;0;0;1;2;20.0;40.0;5;10;
;;;;;;;;;;;
How to start Tomcat;4;1;0;0;1;1;25.0;25.0;5;5;
;;;;;;;;;;;
Replace letters in string;4;1;0;0;1;2;25.0;50.0;5;10;
;;;;;;;;;;;
nullPointException;1;0;0;0;0;1;0.0;100.0;5;10;
;;;;;;;;;;;
invoke;1;0;0;0;1;0;100.0;0.0;5;10;
;;;;;;;;;;;
java excel;2;0;0;0;1;1;50.0;50.0;5;10;
;;;;;;;;;;;
how remove object from array;5;2;0;0;1;2;20.0;40.0;5;10;
;;;;;;;;;;;
Check string input is an int;6;2;0;0;2;3;33.33;50.0;5;10;
;;;;;;;;;;;
How to join two lists;5;2;0;0;1;1;20.0;20.0;5;10;
;;;;;;;;;;;
how to convert dom to string;6;2;0;0;1;2;16.67;33.33;5;10;
;;;;;;;;;;;
use of bag in eclipse collection;6;3;0;0;0;4;0.0;66.67;5;10;
;;;;;;;;;;;
how to create a checkbox;5;2;0;0;1;1;20.0;20.0;5;10;
;;;;;;;;;;;
HttpSecurity.authorizeRequests().anyRequest().authenticated();1;0;0;3;1;2;100.0;200.0;5;10;
;;;;;;;;;;;
underline textview;2;0;0;0;1;1;50.0;50.0;5;10;
;;;;;;;;;;;
anonymous class;2;0;0;0;0;1;0.0;50.0;5;5;
;;;;;;;;;;;
read from stdin;3;1;0;0;1;1;33.33;33.33;5;10;
;;;;;;;;;;;
is it safe to store an unencrypted password in sharedpreferences;10;5;0;0;2;2;20.0;20.0;5;10;
;;;;;;;;;;;
Create immutable set;3;0;0;0;1;1;33.33;33.33;5;10;
;;;;;;;;;;;
How to escape double quotes;5;1;0;0;1;1;20.0;20.0;5;10;
;;;;;;;;;;;
recursively list all files in a folder;7;2;0;0;0;3;0.0;42.86;5;10;
;;;;;;;;;;;
sort list of objects by key;6;2;0;0;0;4;0.0;66.67;5;10;
;;;;;;;;;;;
how to printf in java;5;3;0;0;1;1;20.0;20.0;5;10;
;;;;;;;;;;;
how to override;3;2;0;0;1;0;33.33;0.0;5;10;
;;;;;;;;;;;
how to specify a certificate to use in an HTTPS request?;11;6;0;0;2;3;18.18;27.27;5;10;
;;;;;;;;;;;
remove duplicate elements from array;5;1;0;0;2;2;40.0;40.0;5;5;
;;;;;;;;;;;
jdbctemplate query null;3;0;0;0;0;3;0.0;100.0;5;10;
;;;;;;;;;;;
How to slice an array;5;2;0;0;1;1;20.0;20.0;5;10;
;;;;;;;;;;;
How to create object in java;6;2;0;0;1;2;16.67;33.33;5;10;
;;;;;;;;;;;
how to remove element from end of array;8;5;0;0;1;3;12.5;37.5;5;10;
;;;;;;;;;;;
How to append to an ArrayList;6;2;0;0;1;1;16.67;16.67;5;10;
;;;;;;;;;;;
unity touchButton;2;0;0;0;0;2;0.0;100.0;5;10;
;;;;;;;;;;;
add element to array;4;1;0;0;1;2;25.0;50.0;5;10;
;;;;;;;;;;;
class override exception handler;4;0;0;0;0;4;0.0;100.0;5;10;
;;;;;;;;;;;
concatenate;1;0;0;0;0;1;0.0;100.0;5;10;
;;;;;;;;;;;
create a stream from an array;6;2;0;0;1;2;16.67;33.33;5;10;
;;;;;;;;;;;
convert string to datetime;4;1;0;0;2;1;50.0;25.0;5;10;
;;;;;;;;;;;
Script;1;0;0;0;0;1;0.0;100.0;5;10;
;;;;;;;;;;;
check prime number;3;0;0;0;0;2;0.0;66.67;5;10;
;;;;;;;;;;;
sorting array;2;0;0;0;1;1;50.0;50.0;5;10;
;;;;;;;;;;;
Make http call;3;0;0;0;1;1;33.33;33.33;5;10;
;;;;;;;;;;;
How to reverse an array in java;7;3;0;0;1;2;14.29;28.57;5;10;
;;;;;;;;;;;
mvc website;2;0;0;0;0;2;0.0;100.0;5;10;
;;;;;;;;;;;
count the occurrences of a string;6;2;0;0;0;3;0.0;50.0;5;5;
;;;;;;;;;;;
How to acces private field of different class;8;3;0;0;0;3;0.0;37.5;5;10;
;;;;;;;;;;;
How to extract an email address from a string;9;3;0;0;1;3;11.11;33.33;5;10;
;;;;;;;;;;;
How to search a list;5;1;0;0;1;1;20.0;20.0;5;10;
;;;;;;;;;;;
localdatetime to long;3;1;0;0;0;1;0.0;33.33;5;10;
;;;;;;;;;;;
how do you display an image;6;4;0;0;2;1;33.33;16.67;5;10;
;;;;;;;;;;;
android view contact by lookup-column;5;1;0;0;0;4;0.0;80.0;5;10;
;;;;;;;;;;;
How to delete duplicates;4;1;0;0;1;1;25.0;25.0;5;10;
;;;;;;;;;;;
how to create a custom annotation in java;8;3;0;0;1;3;12.5;37.5;5;10;
;;;;;;;;;;;
how to manage the task stack in android;8;4;0;0;2;2;25.0;25.0;5;10;
;;;;;;;;;;;
how to remove items from an array;7;4;0;0;1;2;14.29;28.57;5;10;
;;;;;;;;;;;
getimage url applet;3;0;0;0;0;3;0.0;100.0;5;10;
;;;;;;;;;;;
load image project path;4;0;0;0;0;4;0.0;100.0;5;10;
;;;;;;;;;;;
How to create a hashmap;5;1;0;0;1;1;20.0;20.0;5;10;
;;;;;;;;;;;
String conversion;2;0;0;0;0;2;0.0;100.0;5;10;
;;;;;;;;;;;
fibonacci sequence;2;0;0;0;0;2;0.0;100.0;5;10;
;;;;;;;;;;;
leap year;2;0;0;0;0;2;0.0;100.0;5;10;
;;;;;;;;;;;
zuul spring security eureka;4;0;0;0;0;3;0.0;75.0;5;10;
